epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.549,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000552679,0.000552679,0.000552679
2,428.233,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00109737,0.00109737,0.00109737
3,640.048,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00163107,0.00163107,0.00163107
4,851.124,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,1062.31,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,1273.36,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,1484.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,1697.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,1909.18,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,2120.81,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00151847,0.00151847,0.00151847
11,2331.87,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,2542.89,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,2753.95,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,2965.41,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,3176.46,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00143595,0.00143595,0.00143595
16,3387.47,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00141945,0.00141945,0.00141945
17,3598.51,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00140295,0.00140295,0.00140295
18,3809.53,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00138644,0.00138644,0.00138644
19,4020.55,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00136994,0.00136994,0.00136994
20,4231.54,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00135344,0.00135344,0.00135344
21,4442.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,4653.58,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00132043,0.00132043,0.00132043
23,4864.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00130393,0.00130393,0.00130393
24,5075.61,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00128742,0.00128742,0.00128742
25,5286.62,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00127092,0.00127092,0.00127092
26,5497.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00125442,0.00125442,0.00125442
27,5708.57,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00123791,0.00123791,0.00123791
28,5919.57,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00122141,0.00122141,0.00122141
29,6130.58,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00120491,0.00120491,0.00120491
30,6341.57,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011884,0.0011884,0.0011884
31,6552.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011719,0.0011719,0.0011719
32,6763.59,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011554,0.0011554,0.0011554
33,6974.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00113889,0.00113889,0.00113889
34,7185.54,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00112239,0.00112239,0.00112239
