epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.354,2.45206,3.34618,2.58121,0.71794,0.13747,0.13497,0.04905,2.26926,2.8032,2.73157,0.000552679,0.000552679,0.000552679
2,385.866,2.09552,2.68094,2.55328,0.70824,0.14609,0.13535,0.04623,2.16884,2.78056,2.86677,0.00109737,0.00109737,0.00109737
3,579.149,2.07185,2.60527,2.54606,0.69727,0.14658,0.12444,0.04249,2.11203,2.85042,2.89326,0.00163107,0.00163107,0.00163107
4,771.195,1.98222,2.51882,2.52881,0.72209,0.13693,0.12244,0.04083,2.0052,2.76225,2.88908,0.00161749,0.00161749,0.00161749
5,962.536,1.9334,2.47956,2.53349,0.30435,0.18076,0.16317,0.0603,2.12911,2.68399,2.75881,0.00160099,0.00160099,0.00160099
6,1153.42,1.92278,2.47544,2.5224,0.74544,0.1649,0.18084,0.0703,1.96676,2.51797,2.76751,0.00158448,0.00158448,0.00158448
7,1344.27,1.87868,2.40726,2.50489,0.78684,0.16425,0.18617,0.06595,2.07942,2.5327,2.80453,0.00156798,0.00156798,0.00156798
8,1534.98,1.8625,2.38278,2.48325,0.31171,0.16277,0.16699,0.05854,1.98299,2.58795,2.82654,0.00155148,0.00155148,0.00155148
9,1726.01,1.86307,2.37608,2.50478,0.76161,0.16562,0.18965,0.07516,1.97029,2.5828,2.82891,0.00153497,0.00153497,0.00153497
10,1917.23,1.83089,2.34102,2.49402,0.37058,0.20357,0.20577,0.07591,1.90788,2.42868,2.75622,0.00151847,0.00151847,0.00151847
11,2107.97,1.82607,2.30286,2.47293,0.48967,0.20817,0.20765,0.0817,1.90978,2.40178,2.78869,0.00150197,0.00150197,0.00150197
12,2299.19,1.81148,2.29544,2.45929,0.36044,0.19258,0.19411,0.07991,1.88339,2.47358,2.72776,0.00148546,0.00148546,0.00148546
