epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.899,2.14509,2.7045,2.45375,0.86112,0.16898,0.17497,0.09389,1.76584,2.75973,2.2076,0.067044,0.000332889,0.000332889
2,561.092,1.64957,1.71201,2.2314,0.83668,0.26032,0.32023,0.20018,1.6774,2.26133,2.07137,0.0340374,0.000659627,0.000659627
3,835.159,1.40749,1.29937,2.05635,0.76091,0.35479,0.36727,0.23642,1.60632,2.14043,1.99347,0.00102421,0.000979764,0.000979764
4,1109.55,1.24085,1.0715,1.92302,0.74425,0.36075,0.36478,0.2475,1.54825,2.18795,1.9547,0.0009703,0.0009703,0.0009703
5,1384.42,1.14735,0.96428,1.82055,0.97951,0.34254,0.40093,0.27289,1.45228,2.07574,1.92084,0.0009604,0.0009604,0.0009604
6,1658.47,1.07181,0.88689,1.74731,0.95763,0.35023,0.39281,0.2814,1.47829,2.19494,1.95499,0.0009505,0.0009505,0.0009505
7,1931.83,1.02361,0.84545,1.71513,0.95801,0.35066,0.39862,0.29095,1.47262,2.30034,1.89864,0.0009406,0.0009406,0.0009406
8,2205.51,0.98183,0.80604,1.68579,0.94198,0.35637,0.39202,0.29162,1.47898,2.31591,1.88988,0.0009307,0.0009307,0.0009307
9,2479.4,0.95201,0.7758,1.65664,0.90051,0.35558,0.39378,0.26605,1.44223,2.35821,1.93401,0.0009208,0.0009208,0.0009208
10,2753.73,0.92376,0.7513,1.63697,0.9318,0.36124,0.39916,0.29406,1.44236,2.22556,1.88655,0.0009109,0.0009109,0.0009109
11,3028,0.90209,0.7268,1.62093,0.90411,0.35907,0.39382,0.29501,1.45253,2.29412,1.93105,0.000901,0.000901,0.000901
12,3301.49,0.8708,0.70355,1.58936,0.57025,0.38057,0.40909,0.30203,1.43705,2.6041,1.91895,0.0008911,0.0008911,0.0008911
13,3575.61,0.86,0.68991,1.58892,0.5921,0.36034,0.39866,0.30095,1.43196,2.41289,1.95564,0.0008812,0.0008812,0.0008812
14,3849.16,0.84046,0.67703,1.58155,0.59112,0.35185,0.40011,0.29715,1.46193,2.08512,1.99518,0.0008713,0.0008713,0.0008713
15,4122.77,0.83886,0.6724,1.56996,0.59381,0.37788,0.40932,0.31625,1.43479,2.2464,1.93517,0.0008614,0.0008614,0.0008614
16,4396.27,0.81515,0.64916,1.56383,0.61075,0.3558,0.40656,0.30234,1.40241,2.09828,1.89306,0.0008515,0.0008515,0.0008515
17,4670.2,0.80261,0.64237,1.54879,0.53612,0.38659,0.40256,0.3051,1.41164,2.14973,1.9389,0.0008416,0.0008416,0.0008416
18,4944.39,0.79104,0.63189,1.54057,0.55843,0.38884,0.40148,0.31044,1.3954,2.18622,1.8999,0.0008317,0.0008317,0.0008317
19,5217.75,0.7814,0.61899,1.54406,0.57245,0.36247,0.40132,0.31435,1.37256,2.14936,1.88087,0.0008218,0.0008218,0.0008218
20,5492.25,0.7737,0.61605,1.53351,0.5525,0.37234,0.40537,0.31529,1.38247,2.20702,1.91601,0.0008119,0.0008119,0.0008119
21,5765.97,0.76571,0.60818,1.5297,0.58392,0.36781,0.40401,0.32072,1.40986,2.20895,1.91988,0.000802,0.000802,0.000802
22,6039.61,0.75234,0.59757,1.5163,0.5808,0.37445,0.40244,0.31398,1.40442,2.19004,1.94816,0.0007921,0.0007921,0.0007921
23,6314.25,0.7527,0.59379,1.51955,0.54057,0.34174,0.39583,0.31536,1.3691,2.03139,1.92768,0.0007822,0.0007822,0.0007822
24,6588.21,0.74453,0.58715,1.51568,0.57541,0.36653,0.40839,0.33378,1.3758,2.28696,1.91798,0.0007723,0.0007723,0.0007723
25,6864.19,0.74208,0.58499,1.51053,0.54528,0.37064,0.40057,0.32036,1.37662,2.26729,1.9058,0.0007624,0.0007624,0.0007624
26,7138.18,0.7283,0.57481,1.49981,0.56018,0.37269,0.40419,0.32221,1.36255,2.10794,1.92623,0.0007525,0.0007525,0.0007525
27,7411.26,0.72457,0.56984,1.49892,0.59034,0.36561,0.40213,0.31853,1.3592,1.98635,1.9503,0.0007426,0.0007426,0.0007426
28,7685.68,0.71355,0.55883,1.49765,0.55906,0.36898,0.39894,0.31997,1.35993,2.2851,1.94507,0.0007327,0.0007327,0.0007327
29,7959.18,0.70824,0.55792,1.50121,0.58781,0.37146,0.40401,0.33142,1.35959,2.27013,1.91585,0.0007228,0.0007228,0.0007228
30,8232.37,0.70395,0.55362,1.48845,0.56343,0.37453,0.40403,0.32161,1.36698,2.31199,1.96569,0.0007129,0.0007129,0.0007129
31,8506.17,0.702,0.54954,1.4913,0.58648,0.37127,0.40522,0.3259,1.3846,2.07843,1.95417,0.000703,0.000703,0.000703
32,8779.51,0.69349,0.54563,1.48519,0.57653,0.36862,0.40026,0.31586,1.38453,2.28798,1.95683,0.0006931,0.0006931,0.0006931
33,9053.39,0.69248,0.54296,1.48777,0.58213,0.36706,0.40118,0.3257,1.36118,2.19453,1.95166,0.0006832,0.0006832,0.0006832
34,9327.64,0.68333,0.53676,1.47775,0.58399,0.36849,0.40344,0.32737,1.3735,2.24709,1.94654,0.0006733,0.0006733,0.0006733
35,9601.89,0.68254,0.53599,1.48411,0.57725,0.3701,0.40453,0.3267,1.37213,2.27816,1.93335,0.0006634,0.0006634,0.0006634
36,9875.43,0.68,0.53274,1.48048,0.58981,0.36559,0.40021,0.32818,1.36208,2.06227,1.96268,0.0006535,0.0006535,0.0006535
37,10149.6,0.67289,0.5263,1.47693,0.58118,0.36958,0.40134,0.32851,1.3727,2.13032,1.93727,0.0006436,0.0006436,0.0006436
38,10423.1,0.6703,0.5233,1.46693,0.57698,0.36968,0.39935,0.3254,1.37916,2.08049,1.96903,0.0006337,0.0006337,0.0006337
39,10697.3,0.66578,0.51977,1.47154,0.56709,0.37386,0.39977,0.31864,1.37759,2.08459,1.96471,0.0006238,0.0006238,0.0006238
40,10971.4,0.66085,0.51613,1.46075,0.5672,0.37194,0.40201,0.32916,1.3787,2.03326,2.00082,0.0006139,0.0006139,0.0006139
41,11244.7,0.65845,0.516,1.46198,0.56772,0.37042,0.40115,0.32693,1.3589,2.05162,1.97901,0.000604,0.000604,0.000604
42,11518.5,0.65315,0.50956,1.4658,0.5626,0.37203,0.40855,0.33285,1.36233,2.09934,1.96999,0.0005941,0.0005941,0.0005941
43,11792.2,0.64845,0.50524,1.45886,0.57186,0.36784,0.39994,0.32453,1.36069,2.0737,1.98118,0.0005842,0.0005842,0.0005842
44,12065.5,0.64676,0.50707,1.45037,0.57711,0.3698,0.40332,0.32645,1.36454,2.06616,1.98293,0.0005743,0.0005743,0.0005743
